split,model_key,model,model_group,num_seeds,best_epoch_mean,best_epoch_std,stopped_epoch_mean,stopped_epoch_std,best_valid_score_mean,best_valid_score_std,auc_mean,auc_std,ap_mean,ap_std,mrr_mean,mrr_std,hits@1_mean,hits@1_std,hits@3_mean,hits@3_std,hits@5_mean,hits@5_std,hits@10_mean,hits@10_std
test,gcn,GCN,gnn_model,3,495.0,5.0,500.0,0.0,0.4593039461221435,0.008113176474895085,0.8967215937995846,0.0013048875145754472,0.9019243732051053,0.0028913927725398056,0.4581326976410687,0.006688498004696638,0.297719087635054,0.007496996396636729,0.5400160064025611,0.011138187802894543,0.6548619447779112,0.00794043010523588,0.786514605842337,0.007505001734097967
test,graphsage,GraphSAGE,gnn_model,3,498.3333333333333,2.886751345948133,500.0,0.0,0.4849507844602559,0.013754435159752882,0.8839647503659327,0.010340539565307314,0.8987691900517804,0.006891010049846085,0.4789544634856903,0.016441037023835495,0.32813125250100045,0.018090377471013535,0.5650260104041617,0.015436015623838268,0.6550620248099239,0.01936026332118251,0.77531012404962,0.02532652845941899
test,rgcn,R-GCN,gnn_model,3,493.3333333333333,2.886751345948133,500.0,0.0,0.5789024543814162,0.005798826877043823,0.9253667853696101,0.002366746838205769,0.9313730153327792,0.0019830973973595256,0.5647738175223035,0.004379600557437043,0.4297719087635054,0.007076726364076604,0.6466586634653861,0.006418173242235047,0.7250900360144058,0.0039360375295931236,0.8077230892356942,0.003996595509291398
test,gatv2,GATv2,gnn_model,3,491.6666666666667,2.886751345948133,500.0,0.0,0.6236787052608567,0.013703306970876338,0.9262672656097254,0.005614231425908913,0.9396239998957395,0.003763101318247899,0.6207949762838985,0.011359338249331245,0.5036014405762305,0.013081929602462988,0.6928771508603441,0.015400964704222355,0.7611044417767108,0.014666016474034383,0.8375350140056023,0.009030239372866514
test,relation_attention_gat,RA-GAT,gnn_model,3,490.0,13.228756555322953,500.0,0.0,0.630669403053944,0.004295639114283449,0.9216759933265021,0.0032487268524921753,0.9379809200035698,0.0007158460700648021,0.6185220236055021,0.006330148722101255,0.4947979191676671,0.010573997808502426,0.7046818727490997,0.004913176933897033,0.7685074029611845,0.0042159478802931746,0.8385354141656663,0.003748498198318401
test,semantic_graph_fusion_gat,SGF-GAT,proposed_existing_model,3,496.6666666666667,5.773502691896266,500.0,0.0,0.6404663591931337,0.0018433835920223156,0.9274899635724637,0.007636753317116452,0.9385252813650968,0.004504890129544024,0.6351364734253079,0.008483419610066186,0.5246098439375749,0.008251937025730809,0.7064825930372148,0.010413776454320183,0.7655062024809923,0.007970621963602275,0.834733893557423,0.011138187802894583
test,enhanced_semantic_graph_fusion_gat,E-SGF-GAT,proposed_enhanced_model,3,490.0,10.0,500.0,0.0,0.6623807870981109,0.014928071999258682,0.9456763497716013,0.004935390231182917,0.9522635634492373,0.004255342465731369,0.6626591048662042,0.019463705194847362,0.5476190476190476,0.02663695756805541,0.7396958783513407,0.015354105676630377,0.8041216486594638,0.012906325268403488,0.8667466986794717,0.007076726364076593
valid,gcn,GCN,gnn_model,3,495.0,5.0,500.0,0.0,0.4593039461221435,0.008113176474895085,0.8967690317423488,0.0017278209877758875,0.9034247513705811,0.001994416576074017,0.4593039461221435,0.008113176474895085,0.30532212885154064,0.007456840797752796,0.5346138455382152,0.014484744135844928,0.6448579431772709,0.019003390363185733,0.7843137254901961,0.01490159758412596
valid,graphsage,GraphSAGE,gnn_model,3,498.3333333333333,2.886751345948133,500.0,0.0,0.4849507844602559,0.013754435159752882,0.8880363670077874,0.009812022683387402,0.8998122411053199,0.00682298836115179,0.4849507844602559,0.013754435159752882,0.3391356542617047,0.014567420287528944,0.565826330532213,0.009995995195515644,0.6614645858343337,0.015914854241972254,0.774109643857543,0.015424340834100107
valid,rgcn,R-GCN,gnn_model,3,493.3333333333333,2.886751345948133,500.0,0.0,0.5789024543814162,0.005798826877043823,0.926566184697168,0.002280966306612949,0.930609828256337,0.0024097955747610514,0.5789024543814162,0.005798826877043823,0.4493797519007603,0.005704912936928092,0.6576630652260905,0.007993191018582715,0.7284913965586234,0.006012396639182404,0.8107242897158864,0.008149424511571175
valid,gatv2,GATv2,gnn_model,3,491.6666666666667,2.886751345948133,500.0,0.0,0.6236787052608567,0.013703306970876338,0.9267690269385066,0.004824061311105552,0.9362190292873375,0.005027499201236037,0.6236787052608567,0.013703306970876338,0.5020008003201281,0.014731380659623821,0.6968787515006002,0.012704688168377394,0.7763105242096838,0.016831714112083288,0.845138055222089,0.010517056103202438
valid,relation_attention_gat,RA-GAT,gnn_model,3,490.0,13.228756555322953,500.0,0.0,0.630669403053944,0.004295639114283449,0.9227907249334307,0.0034607042923035527,0.9377112093789614,0.0025407636004176905,0.630669403053944,0.004295639114283449,0.5108043217286915,0.0072775244015498555,0.7126850740296118,0.004584409458739317,0.7789115646258503,0.003996595509291379,0.8449379751900761,0.007993191018582719
valid,semantic_graph_fusion_gat,SGF-GAT,proposed_existing_model,3,496.6666666666667,5.773502691896266,500.0,0.0,0.6404663591931337,0.0018433835920223156,0.9325625808546708,0.0063441694247285945,0.9421539326024909,0.005141402421959386,0.6404663591931337,0.0018433835920223156,0.5248099239695878,0.004544944654502056,0.7180872348939576,0.007552855577501699,0.7785114045618248,0.014861246582400891,0.8391356542617047,0.012315897076040389
valid,enhanced_semantic_graph_fusion_gat,E-SGF-GAT,proposed_enhanced_model,3,490.0,10.0,500.0,0.0,0.6623807870981109,0.014928071999258682,0.9486640994933387,0.00466564871226669,0.9550122748622375,0.003897784715069206,0.6623807870981109,0.014928071999258682,0.5398159263705482,0.019810954452959675,0.7494997999199681,0.012393661997557861,0.8123249299719889,0.015793654159156446,0.8723489395758303,0.0034131096657126934
